Transaction_ID,Customer_Name,Customer_Email,Transaction_Amount,Transaction_Date,Merchant_Name,Merchant_Email,Merchant_Location,Card_Number,Card_Expiry,Card_CVV,IP_Address,Device_Type,Transaction_Type,Fraudulent
2c276e09-24f7-4e6b-8122-47c3627a7268,Jennifer Wilson,amygreen@example.com,175.11,2024-03-01,Hampton-Powell,gregcaldwell@gillespie.net,Cayman Islands,4175618153978435573,06/30,777,42.103.253.55,Tablet,In-store,True
dc066519-15d4-45a6-9e6d-5333c0a55fbc,Scott Matthews,nicoleferguson@example.net,968.51,2024-02-23,Keller and Sons,deniseramsey@gallegos-hubbard.com,Zimbabwe,3513493835255325,09/24,632,156.41.109.8,Desktop,In-store,True
64d731f5-cd6f-4d7d-9a06-1c924f3cc26b,Melanie Franklin,fergusonmatthew@example.net,622.59,2024-02-28,"Pearson, Cooper and Miller",hlewis@moss.net,Mayotte,30164341270757,01/33,102,167.20.56.146,Desktop,Online,False
d65e7862-b30c-4df9-b44e-fd219c2429cb,Sabrina Waller,williamsshirley@example.com,698.31,2024-01-27,Mcdaniel and Sons,brianchavez@stevens.net,Antigua and Barbuda,30345609968469,12/26,902,52.241.35.223,Desktop,In-store,False
b355f6c7-04b9-4b52-958d-cce13114aafe,Lisa Blankenship,bondmitchell@example.org,86.73,2024-01-13,Richard-Russo,sandra12@mccall.com,Tanzania,4162499529947049565,01/25,849,135.255.117.111,Mobile,Online,True
5e7632dc-9458-4945-bab6-307fbb932755,Richard Alvarado,michaelross@example.org,749.74,2024-02-02,"Wright, Cummings and Morales",hawkinslisa@smith.com,Cameroon,4177322811284073585,12/31,152,40.136.231.197,Desktop,In-store,False
1639156c-2399-4876-9386-eb1537f955ea,Jasmine Sanchez DDS,jenniferlopez@example.net,814.09,2024-02-17,Bruce Group,jennifer48@soto.com,Pakistan,213166315005969,03/29,612,178.178.167.27,Tablet,Online,True
8a378f64-dc81-4f6a-b757-44c4bd47e121,Paula King,nicholasgay@example.org,886.49,2024-02-28,Bishop Ltd,cdillon@ramirez.com,Slovenia,344685208589575,01/27,109,118.154.7.105,Desktop,In-store,True
ad38e0c8-faf9-4160-bc04-f95ac60c9ad1,Jamie Jefferson,ldavis@example.net,115.53,2024-02-09,Simon-Johnson,jacob42@levy.info,San Marino,4830632339277,05/25,643,13.78.40.239,Desktop,In-store,False
b004dc31-a7de-474d-a1b4-bf5ac6b8a026,Carolyn Nunez,ronald28@example.org,402.21,2024-02-22,"Jones, Nelson and Wallace",ayerskelly@stewart.com,Mozambique,3583708198947498,03/24,748,90.248.136.175,Desktop,In-store,False
564e3489-2f29-4328-865a-9c0b6b3e44c0,Brian Pittman,julieedwards@example.net,916.13,2024-01-23,Sims PLC,ashley05@richards.net,Yemen,6011993569181704,11/29,680,51.203.194.64,Desktop,In-store,True
69ba21df-5a59-4cb4-9dc1-e9935763d8e3,Kerry Wang,thomas64@example.org,178.06,2024-03-02,Walker Group,michaelrusso@smith-meyer.com,Germany,4208628442295868823,06/26,6624,172.158.91.237,Tablet,Online,False
711329c3-e702-4e12-a481-90dbb0492a13,Justin Thomas,kaylawarren@example.com,593.64,2024-03-01,Anderson-Brooks,joshua63@collins.com,China,6011074089187420,12/30,578,106.60.167.175,Tablet,Online,False
ee93c5bf-5567-40e9-a80d-c85ee7ed4a76,Danny Cruz,jessica48@example.org,284.43,2024-02-10,Logan Inc,sskinner@martinez-williams.com,Tonga,340708466951354,06/29,696,11.149.149.11,Tablet,In-store,True
600f28da-af4f-41cc-a106-60d977f2136f,Kristin Rivers,thomasmichael@example.org,993.97,2024-03-01,Gibson-Howe,stevensanchez@brown-townsend.com,Nauru,30506741104327,09/25,563,159.32.16.56,Mobile,Online,True
3f7b7eb7-d330-42ec-9373-3a695974f263,Kimberly Lynch,catherine31@example.com,174.29,2024-02-24,Brown PLC,eboyer@smith.net,Bahamas,503885847023,06/24,405,3.216.113.38,Tablet,In-store,True
9bc99f54-85ab-40d7-b5a4-de8d2c6e24ab,Heather Cardenas,douglasandrews@example.net,942.22,2024-02-07,Thompson Group,denise44@thomas.com,Bahrain,502096409151,08/25,316,220.154.68.17,Mobile,In-store,True
2ce8a7ca-e4ae-48ed-9f14-db1c5a98d625,Alan Walton,kelly09@example.net,289.15,2024-01-12,Dennis Group,melissa72@wright-curry.com,Costa Rica,213120696505162,10/27,385,190.51.52.1,Tablet,Online,False
